"","url","author","text","label"
"1","https://www.bloomberg.com/news/articles/2019-04-17/u-s-investors-are-throwing-in-the-towel-on-international-stocks?srnd=premium-europe","Luke Kawa","“Buy American” is back in vogue among U.S. equity investors after a years-long global diversification push failed to bear fruit.Domestically focused equity mutual and exchange-traded funds have booked back-to-back months of inflows, while international funds traded in the U.S. have suffered outflows over the same stretch, according to DataTrek Research co-founder Nicholas Colas. It’s the first time since the trade war heated up in the middle of 2018 that withdrawals have hit non-U.S. oriented funds in consecutive months. Investors’ U.S. shift has occurred in the midst of a torrid 16 percent advance for the S&P 500 Index this year that has put it within spitting distance of its all-time high and outshined returns in emerging markets, developed markets and global equity benchmarks. Investors put $4.7 billion to work in U.S. equity funds during February and March while taking out nearly $7 billion from internationally-geared opportunities, according to Colas, who cites data from the Investment Company Institute.This marks a stark reversal of the prevailing trend since 2017, which has seen money move to international equity funds at the expense of domestic counterparts. The thinking in recent years had been that the U.S.’s decade-long bull-market run had gone on for so long and reached such heights that it was inevitable that global markets were poised to play catchup.That’s no longer the prevailing theory. Bank of America’s March survey of fund managers showed growing pessimism on the global economy. Shorting European equities was judged to be the most crowded trade in markets in the survey, which found two-thirds of respondents expect below-trend growth and inflation globally over the next year.The shift back to U.S. equities is based on the simple fact that they continue to outperform global alternatives, notes Colas. But on a deeper level, he adds, it could be fostered by deglobalization, a lack of faith in Europe or Japan’s ability to reflate their economies via monetary stimulus, and the elevated weighting of technology stocks in U.S. indexes compared with other bourses.Lawrence Hamtil, a financial adviser at Fortune Financial Advisors, takes a longer view. Since 1986, American outperformance in equities has been the rule, not the exception, he says.",0
"2","https://www.economist.com/prospero/2019/04/16/fosse/verdon-is-a-compelling-examination-of-a-creative-partnership","economist sources","“FOSSE/VERDON”, a new mini-series about two Broadway legends, could have been a simple paean to the magic of the stage. Bob Fosse (Sam Rockwell), a director, and his wife Gwen Verdon (Michelle Williams), a dancer, helped to create hits such as “Damn Yankees!”, “Chicago” and “Cabaret"". There is plenty of exquisite choreography, as legs kick in perfect time and dazzling costumes shimmer on twisting bodies, plus a sparkling rendition of “Big Spender”. Elsewhere, in a fantasy scene, Fosse twirls effortlessly down a corridor, surrounded by colourful dancers. But the show turns out to be a surprisingly moving examination of the characters of Fosse and Verdon, as well as their extraordinary careers. It opens with the build-up to “Cabaret”, Fosse’s best-known film, which he directed and choreographed in 1971. The viewer is transported from Hollywood to damp, dark Munich, where it was shot, and the pressure is palpable. The film cannot afford to be “another $20m fiasco”, a producer warns, referring to one of Fosse’s previous misses. Fosse, in turn, takes it out on his crew. “I wanna see every muscle, every tendon,” he barks during exhausting rehearsals for “Mein Herr”, one of the nightclub songs. After seeing the first cut, he moans to his assistant that “it’s unwatchable”. On the night of the premiere, he paces in the auditorium rather than watching the film (it was a box-office triumph and would go on to win eight Oscars). His personal torment, and abject terror of failure, is clear.",0
"3","http://uspoln.com:80/2017/02/07/john-hagee-god-made-lesbians-flat-identified-normal-people-easily-2","anonymous","“One of the things that the Bible has consistently denounced is the taking of the Lord’s name in vain. In fact, one of the Ten Commandments in the Old Testament states: “You shall not take the name of the Lord your God in vain, for the Lord will not hold him guiltless who takes his name in vain” (Exodus 20:7). The word “vain” means “for no reason” or “useless.” “Thus, God was instructing the Israelites to avoid using his name in a useless, disrespectful way. Instead, the Israelites were supposed to revere the name of God and use it in a serious, considerate way. Many of the ancient Israelites were so respectful of the name of God that they would not even pronounce it or write it for fear of using it in vain. Those who did write it would often throw away the quill they had used, because they thought that any quill that had written God’s name was holy and should not be used for regular words. “Dr. John Hagee, the founder and senior pastor of the Cornerstone Church in San Antonio, Texas, not only agrees with what the Good Book says, but also takes the faith to a level of fanaticism. Speaking exclusively with Newslo, Hagee stated that “in this world of crimes and deaths that surround us, a simple blasphemy does not get that much attention when it should.” “Saying the Lord’s name in vain might seem petite and insignificant compared to some of the things that are going on in the world right now, even in churches all across America,” Hagee elaborated. “But, that’s precisely the problem. If the shepherds of a faith start doing wrong, what is the flock supposed to do? Follow in their footsteps? I don’t think so. The flock needs to get its bearings and start thinking for itself.” The pastor reprimanded: “But, nowadays you have people committing sin everywhere you look, including Houses of God, which are the holiest of places.” Asked how the situation could be bettered, Hagee replied: “Well, we’d have to start with ourselves, as with everything in life. If you’re asking about my personal opinion, there is no greater sin in terms of wrongly using God’s name than women who use it during sex. That is one of the filthiest, most derogatory and sinful uses of the Lord’s name I can think of. If it were up to me, I would put every single woman or girl who does that in jail. That would be a fine example of God’s wrath aimed at what is, in my opinion, a terrible misuse of our Maker’s good name.”/religionlo.com/",1
"4","https://www.economist.com/united-states/2019/04/13/donald-trump-does-away-with-another-member-of-his-cabinet","economist sources","“SECRETARY OF HOMELAND SECURITY Kirstjen Nielsen will be leaving her position, and I would like to thank her for her service,” tweeted Donald Trump on the afternoon of April 7th. Ms Nielsen stepped down on April 10th, but she had been twisting in the wind for months. Though she had publicly defended Mr Trump’s immigration policies, the president thought her weak. Her departure seems to presage a harsher turn on immigration from a president who considers the issue central to his re-election strategy.Few on the left will sympathise with Ms Nielsen. She was one of the faces of the Trump administration’s “zero tolerance” policy, under which anyone who crossed America’s border illegally was referred to the Justice Department for prosecution. That resulted in the separation of thousands of children from their parents. Identifying all the families thus sundered, said the government in a court document filed last week, could take up to two years. She also defended two policies halted, to Mr Trump’s fury, by federal courts: one that would have prevented anyone who crossed the border illegally from claiming asylum, and another that would force asylum seekers to wait in Mexico rather than America while their claims were evaluated.",0
"5","https://www.libertyheadlines.com/seattle-police-begin-gun-confiscations-no-laws-broken-no-warrant-no-charges/","Editor","(Zero Hedge) A man in Seattle has had his gun confiscated by police after breaking no laws. The police took his gun without a warrant and without pressing any charges.  Tyranny has officially taken hold on American soil. This sets a precedent that government can now forcefully take guns away from an individual without a crime being committed or an arrest being made and without a warrant. In the name of fear and political exploitation of anti-gun rhetoric, a citizen’s Second Amendment rights have been ripped away from him by the government. The new “red flag” law, which has taken hold in other states already, allows the courts and law enforcement to take away guns from individuals they deem are dangerous and they’ve just begun the confiscation. A man living in the Belltown neighborhood of Seattle, Washington became the first individual in the state to have his firearm confiscated without any formal arrest or charges.  The man was not identified by authorities. Neighbors complained that the man had been “staring” at people through storefront windows while wearing a holstered firearm. He was not brandishing his weapon by any account, and open carrying is legal in the area, so he was abiding by the law. Other residents also complained that the man’s open carrying made them feel “uncomfortable” and “unsafe.” “He was roaming the hallways with a .25 caliber automatic,” said Tony Montana, a man who lives in the same apartment complex as the gun owner and a person without any reasonable gun knowledge.  Handguns are semi-automatic…",1
"6","http://revolutionradio.org/2018/05/07/democrats-go-full-tyranny-now-demand-nationwide-gun-confiscation-from-law-abiding-americans-at-gunpoint-of-course/","Ethan Huff","A California Democrat was recently given a platform by USA Today to publish a shocking editorial that calls for nationwide confiscation of all “military-style semiautomatic assault weapons” from law-abiding citizens.Representative Eric Swalwell from California’s 15th District wrote that all so-called “assault” weapons need to be banned, and that a federal gun buy-back program needs to be instituted in order to effectively collect them all from the citizenry. Rep. Swalwell even goes a step further, insisting that those who refuse to hand over their “assault” weapons be criminally prosecuted – including law-abiding gun owners who have never been convicted of committing a crime with their legally-purchased weaponry. Not content to simply impose a fresh ban on all new “assault” weapon purchases, which in and of itself is unconstitutional, Rep. Swalwell actually wants to see door-to-door gun confiscation teams engage in Nazi-style removal tactics in order to rid the streets of all firearms that he personally deems reckless and unnecessary. “Reinstating the federal assault weapons ban that was in effect from 1994 to 2004 would prohibit manufacture and sales, but it would not affect weapons already possessed,” Rep. Swalwell wrote in his op-ed for USA Today. “This would leave millions of assault weapons in our communities for decades to come.” “Instead, we should ban possession of military-style semiautomatic assault weapons, we should buy back such weapons from all who choose to abide by the law, and we should criminally prosecute any who choose to defy it by keeping their weapons.",1
"7","https://worldnewsdailyreport.com/couple-hospitalized-after-man-gets-his-head-stuck-in-his-wifes-vagina/","anonymous","A couple was transported to the hospital in a very awkward position last night after a man somehow got his head stuck in his wife’s vagina during a strange sexual game.Tom and Janis Morrison, a young couple from the small town of Greensboro in Alabama, called 911 around 10:00 pm last night to ask for an ambulance.Samantha Irving, the operator who took the call, says she thought it as a joke when he explained the situation.“The woman told me that her husband had fallen and that his head was now stuck in her vaginal cavity. I really thought that it was a group of teenagers making a prank call.”Despite Ms. Irving’s doubts, she sent an ambulance on the site and the paramedics rapidly realized that the situation was in fact very serious.Bill Austin, one of the paramedics who transported the couple, claims they were lying naked on their bed and partially covered in blood.“The woman kept screaming out in pain whenever the guy moved, but he had half of his face buried in there and he looked like he was going through Hell!” The couple was transported to the nearby Hale County Hospital, where doctors were able to separate the couple.Ms. Morrison suffered from severe internal bleeding but is now stable, while her husband has suffered only a few scratches and bruises.According to doctors, both could also suffer from post-traumatic stress syndrome.Dr. Frank Olson, who treated the couple upon their arrival at the hospital, says that such extreme sexual practices are extremely dangerous and recommends to completely avoid them.Incidents like this one are, indeed, quite unusual, but hundreds of couples are admitted to the hospital every year in the U.S. after getting stuck together during sexual intercourse.According to data collected by the U.S. Department of Health and Human Services, 3,213 couples were hospitalized for such problems across the country in 2015 and 3,789 in 2016.According to the same data, the Morrisons are the first couple to be hospitalized for a head stuck inside a vaginal cavity since October 2007.",1
"8","https://www.politifact.com/punditfact/statements/2018/jan/04/flash-24-daily/no-sandra-bullock-didnt-disparage-hillary-clinton/","Amy Sherman","A fake news article said actress Sandra Bullock praised President Donald Trump while telling Hillary Clinton she could leave the United States if she isn’t happy with how things are going. ""Actress Sandra Bullock to Hillary Clinton: ‘if you don’t like our president you can leave and never come back again, you are one jealous woman who is nothing to compare with Trump, I hope he will arrest you soon,’"" said a Dec. 25 headline on Flash 24 Daily. Facebook users flagged the post as being potentially fabricated, as part of the social network’s efforts to combat fake news. We found no evidence that Bullock made the statement about Clinton. The same story has circulated on various websites on Facebook at least since October. While the headline showed Bullock bashing Clinton, the article itself didn’t include any quotes by Bullock in which she mentioned Clinton or Trump by name. The article said that the quotes by Bullock came from her press conference for her ""new film,"" Our Brand Is Crisis. One big hint that this is fake news: that movie was released in 2015. In the movie, Bullock played a political consultant drafted to help the president of Bolivia win re-election as she competed with her rival working for another candidate. At a press conference in October 2015 for her movie, Bullock said she disagreed with Trump when asked about his comments about Mexican-Americans. ""I don’t agree with that at all,"" Bullock said. ""That was not a statement that I can get behind. I don’t agree with that statement."" The Flash 24 Daily article included some actual quotes by Bullock from that press conference about how her views are influenced by her son. Bullock has adopted two African-American children -- a boy and a girl. ""I would like my rights represented and those of my son — very selfish views, and I think everyone else has them,"" she says. ""When this film came along, it came along at a time that I was having that internal discussion with myself about who in our country would step out of their comfort zone to help others for the greater good."" We found no evidence that Bullock said to Clinton ""if you don’t like our president you can leave and never come back again."" We rate this headline Pants on Fire.",1
"9","https://web.archive.org/web/20180414054648/http://onlypolitics.info:80/breaking-malia-obama-suspended-after-racist-anti-white-attack-goes-viral","anonymous","A few days ago, a student at Harvard leaked the contents of Malia Obama’s speech final. The topic? A World Without Whites. And now it may get Malia Obama suspended. “White people are so 1960’s. Sometimes the only thing that keeps me going is the fact that they will be blended out by the time I am 30,” a recording of Obama’s speech shared on Snapchat said. “Imagine a world without white people.” Obama was of course referring to the scientific belief that if whites continue to breed at low rates in America while others races continue to breed at current rates, white babies will be virtually nonexistent in our country by 2038. A post quoting Obama was shared more than 14,000 times with a reach of nearly 1 million Americans, which forced Harvard to take action. “This sort of attack against any race is uncalled for,” Harvard Dean Cain Markholder said in a statement Sunday. “Ms. Obama has been informed she is suspended pending an investigation into her statement.” But it gets worse for Obama — Markholder says that if a disciplinary board finds her guilty, she will “forfeit her grade for the exam” which is worth 47% of her grade according to one of the students who shared video of her racist hate speech-filled attack on whites. The dean notes that punishment for racist attacks like this can lead to “expulsion,” but we’re sure that her dad will once again bail her out of trouble.",1
"10","https://web.archive.org/web/20170412155326/http://southernconservativextra.com:80/thall/texas-law-enforcement-officer-fatally-shot-upon-arriving-for-work-by-3-muslim-refugee-do-you-support-to-deport-them","anonymous","A highly regarded Texas law enforcement officer was shot and killed Monday moments after arriving for work in an attack that prompted a massive manhunt for the gunman. The shooting of Harris County Precinct 3 Assistant Chief Deputy Clinton Greenwood did not appear to be random, according to Baytown police Lt. Steve Dorris, but a motive was not immediately clear. “Whether or not he was specifically targeted, or whether this was because of the uniform he was wearing or the place he pulled up to in the morning, we just don’t know that right now,” Dorris said. No arrests had been made as of Monday evening. Dorris said authorities were still “actively investigating” the shooting. Investigators said late Monday they were looking for a suspect described as a white or Hispanic male, approximately 6 feet (1.8 meters) to 6-feet-3 inches tall, with short hair and a medium to stocky build. The man was described as possibly wearing a dark jacket with some type of patch on the sleeve and was seen in the area around the time of the shooting. Baytown police said the suspect might have fled the scene in a dark vehicle. Greenwood, a 30-year law enforcement veteran, was shot outside a county courthouse building in Baytown, east of Houston. He suffered a single gunshot wound and was airlifted to a Houston hospital where he died.",1
